account_age_days,followers_count,following_count,follower_following_ratio,total_tweets,tweets_per_day,has_profile_image,has_bio,bio_length,has_url,username_length,username_digit_ratio,has_default_profile,listed_count,favorites_count,favorites_per_day,retweet_ratio,avg_tweets_per_hour_variance,unique_sources_count,is_verified,label
4080,769,513,1.499,4938,1.2103,1,0,0,0,4,0.1142,0,4,8099,1.985,0.3398,8.3888,4,0,0
3540,152,358,0.4246,5994,1.6932,1,1,151,0,10,0.2537,0,0,0,0.0,0.4981,8.5422,3,0,0
2097,858,879,0.9761,1895,0.9037,1,1,106,1,4,0.1981,0,0,9531,4.5451,0.3995,3.3472,3,0,0
1485,0,125,0.0,1918,1.2916,1,1,102,0,11,0.2027,0,4,6440,4.3367,0.3812,10.5651,3,0,0
1233,2697,907,2.9735,6094,4.9424,1,1,80,0,16,0.3933,0,2,1046,0.8483,0.3039,3.527,1,0,1
1573,0,235,0.0,2683,1.7057,1,1,140,1,6,0.0464,0,30,6129,3.8964,0.2444,7.7077,4,0,0
4299,0,748,0.0,4017,0.9344,1,1,59,0,13,0.2346,0,6,0,0.0,0.4406,3.6972,4,0,0
770,11,6086,0.0018,56,0.0727,1,1,0,0,5,0.5532,0,3,18,0.0234,0.2653,1.6787,1,0,1
1321,995,297,3.3502,4927,3.7298,1,1,42,0,15,0.0057,0,7,2459,1.8615,0.2193,10.1369,5,0,0
243,2132,243,8.7737,25402,104.535,1,0,0,0,14,0.4742,0,0,136,0.5597,0.8155,1.5927,2,0,1
69,15,4815,0.0031,31948,463.0145,1,0,0,0,18,0.3035,1,1,62,0.8986,0.7233,0.6876,1,0,1
3465,0,1,0.0,2417,0.6975,1,1,142,0,5,0.0815,0,0,5979,1.7255,0.4751,2.7203,3,0,0
4982,107,33,3.2424,5848,1.1738,1,0,0,0,12,0.0324,0,2,9514,1.9097,0.3169,4.1323,2,0,0
4071,119,287,0.4146,3873,0.9514,1,1,111,0,11,0.041,0,22,1663,0.4085,0.2727,10.9011,4,0,0
1847,1002,1531,0.6545,14229,7.7038,1,0,0,0,20,0.1929,0,0,548,0.2967,0.6874,2.5447,2,0,1
167,3183,488,6.5225,27682,165.7605,0,1,78,1,9,0.2586,0,0,203,1.2156,0.8309,1.4501,1,0,1
